batter_id,batter,comp_1,sim_1,comp_2,sim_2,comp_3,sim_3
00029c30,M Mwamadi,Ibrahim Rizan,85.2,CA Young,84.6,Abdur Razzak,83.7
00075cb5,MCE Manalo,Hisham Sheikh,81.9,S Foster,79.3,Sufyan Mehmood,77.1
00321fff,Mohammad Ghazanfar,Abdur Razzak,85.1,AG Cremer,84.6,Jaswinder Singh,84.1
00467a76,S Bodha,C Kyewuta,83.4,WP Masakadza,79.2,Ehsan Khan,75.3
004c9e85,PJ Hughes,Devender Singh,56.5,F Akankwasa,53.9,LPC Silva,53.9
007113d7,HAM Shah,Walid Ghauri,95.0,AP Yadav,93.3,TM Dilshan,93.2
00755e00,S Delai,O Manishimwe,72.6,A McAuley,67.1,Festus Benn,66.1
00757ae7,K Suttisan,JM Vince,85.2,Sharjeel Khan,85.1,M Gogev,83.9
0079f139,R Gaznavi,HA Jackson,81.2,Y Jalloh,76.9,Ali Masood,75.2
008589a4,CM Wright,S Foster,85.3,Hisham Sheikh,83.6,Sufyan Mehmood,79.7
00863408,MTMMJ Ave,S Bau,86.4,Sohail Ahmed,85.8,A Ferguson,85.7
008a024c,M Mooketsi,B Balala,89.5,Ibrahim Hassan,86.2,Abdul Majid Abbasi,85.5
0095a0e3,Noah Mead,A Zampa,69.0,A Shukla,68.7,Ibrahim Rizan,68.0
00c98c78,NH Ekanayake,K Piet,64.4,HR Walsh,54.9,R Rohan,50.1
00d69fa4,SO Tikolo,G Mckeon,68.8,R Mutumbami,68.7,P Khadka,68.5
010658fc,Ivan Splicevic,B Muzarabani,90.2,S Yeshi,82.2,AJ Jabiri,81.0
01127aa9,J Buchanan,Abdur Razzak,87.4,V Baskaran,80.3,WJ Cope,79.4
011f6b42,RG Mukasa,T Manders,95.3,S Sesazi,95.0,Habib Khan,92.0
012829ff,JW Hastings,Ehsan Khan,77.9,HA Chohan,77.0,Ali Naseer,73.3
01549705,J van Heerden,Raghav Dhawan,91.9,MJ Guptill,90.5,Walid Ghauri,90.2
015dc0cd,K Mendon,A Ashokan,86.3,Muhammad Usman,84.3,Aqib Iqbal,84.1
01679383,DB Loic,C Bah,65.7,E Niyomugabo,60.7,AM Kimote,58.5
017faef2,Z Groenewald,RDB Ahir,77.7,AG Cremer,77.6,NA Rock,76.0
0184dc35,R Dravid,AD Mathews,81.8,OA Shah,80.9,RR Pant,79.9
018f6488,M Gouws,G Motie,79.4,Harmeet Singh,78.2,Adnan Idrees,74.2
019d7ef5,Mohamed Turay,B Kumar,82.3,AU Rashid,81.0,CA Young,80.1
019e7a95,GO Sopinho,B Muzarabani,89.9,C Wright,80.7,Abdur Razzak,80.4
01b0d0a4,J Proctor,B Muzarabani,87.9,AJ Jabiri,81.5,C Wright,80.8
01b45044,Mohammad Amin,Khushdil Shah,74.8,Junaid Aziz,71.5,Shakeel Ahmed,70.4
01c05b6c,RJ Hatchman,JO Holder,83.9,Rafiullah,80.6,OF Smith,80.3
020e49e9,AD Algar,Ali Masood,80.6,SE Marsh,78.7,S Foster,78.6
0226b73a,Imran Haider,Bilal Khan,94.5,Abdur Razzak,92.5,CA Young,85.5
023c40b8,Zhao Tianle,N Nuntarach,82.9,D Wheatley,79.4,B Muzarabani,78.7
023f6b02,Nadeem Ahmed,KS Bagabena,76.8,I Ntirenganya,71.7,Ijaz Hussain,71.4
024a173d,J Nyumbu,K Piet,74.7,Bilal Khan,71.5,CA Young,70.2
024fe464,PD McGlashan,Mehran Khan,68.7,MG Johnson,63.0,Ijaz Hussain,61.7
026e1314,Ali Yalmaz,S Prasanna,82.1,Vinay Ravi,81.4,NM Coulter-Nile,81.0
027662be,J Evans,K Hinds,80.6,Tenjin Rabgey,78.6,RW Chakabva,76.8
02789d88,Shamsur Rahman,AJ Jabiri,72.4,WJ Cope,61.1,HA Jackson,60.9
02802468,Ali Nadeem,Mohammad Ihsan,90.9,SR Mukkamalla,90.3,YSD Seneveratne,88.6
02888f23,A Donovan,SR Mukkamalla,89.3,JJ Smit,88.7,G Mckeon,86.3
02b078b1,P Malav,FJ Klaassen,87.5,M Theekshana,87.3,K Piet,86.9
02b87bde,LW Potthoff,G Bakiweyem,74.0,Ibrahim Rizan,67.6,A Zampa,67.0
02c3024c,F Campbell,T Tshose,75.3,N Nuntarach,75.0,P Suanchuai,73.6
02d0c9ae,Muhammad Asjed,C Hinze,77.9,CN Kakuru,70.3,IKEG Artawan,69.9
02d11602,AA Banner,AJ Jabiri,65.3,Khin Aye,56.8,Mohameed Taiwo,55.0
02e83ac5,Naeem Islam,C Campher,81.7,S Prasanna,77.5,VP Thamotharam,77.1
02fa5417,R Vishwanath,B Kumar,83.8,CA Young,74.6,AU Rashid,73.4
032c7eab,Khaibar Deldar,Arslan Amjad,73.8,Jaspal Singh,73.6,LJ Wright,69.9
0331c99a,Hassan Mehmood,KS Bagabena,87.0,CA Soper,72.3,WP Masakadza,69.2
033ac24e,Shafiq Sharif,Atif Rasheed,69.8,D Nikolov,66.8,MW Short,66.5
033e9d59,Arjun Vinod,KC Sangakkara,90.9,NS Dhaliwal,90.7,MWR Stokes,89.3
0348f9a5,TH Tector,V Sehwag,90.3,B Bhandari,88.8,Fakhar Zaman,88.5
034d3c52,A Husain,S Yeshi,80.4,AJ Ayannaike,74.7,WJ Cope,72.1
03521fd3,HM Nicholls,SF Tiai,76.4,M Syahadat Ramli,75.9,A Shreshta,75.0
035cb925,AG Prince,C Kyewuta,77.1,SW Poynter,72.3,AU Rashid,71.2
036b8660,BKB Corbin,ADS Fletcher,76.0,Paing Danu,69.2,K Hinds,69.1
036dcf9b,Saber Zakhil,CV Anto,95.1,Ibrahim Rahimi,92.2,Shahid Afridi,90.1
03806cf8,JR Hazlewood,Bilal Khan,84.2,Abdur Razzak,82.2,A Zampa,79.0
0393fbdc,A Pusthay,N Nuntarach,83.5,J Jemison,77.0,N Tanner,75.3
039cabd9,TS Waqavakatoga,Sayed Monib,70.7,HA Chohan,64.6,P Useni,63.2
039f8170,K Takahashi,Ainool Hafizs,76.0,E Sebareme,65.9,C Kyewuta,62.4
03a83c50,V Viyaskanth,S Yeshi,82.7,B Muzarabani,82.1,Abdur Razzak,80.6
03b9ec54,E Packard,D Ajekun,77.0,CN Kakuru,67.3,R Lutaaya,62.1
03beb59f,Luis Hermida,GC Wilson,82.0,S Foster,81.1,Hisham Sheikh,76.2
03c94c2f,J Grzinic,AJ Ayannaike,76.0,TK Joseph,75.5,N Nuntarach,75.4
03d3dd8e,AF Buurman,B Muzarabani,89.5,AN Toube,78.7,S Yeshi,77.8
03ecfde2,Shoaib Khan,LV van Beek,73.1,Muhammad Wafiq,67.7,Umair Qasim,67.6
03ef382c,ZE Matsinhe,Bilal Khan,89.5,Abdur Razzak,84.6,CA Young,82.9
04029c44,Munir Dar,S Thanikaithasan,92.6,Riazat Ali Shah,92.3,Haider Butt,91.5
0404d43c,Liton Das,BKG Mendis,96.4,A Sharafu,96.1,Shubman Gill,96.0
04420914,P Zuze,Muhammad Wafiq,86.3,AF Milne,85.9,K Piet,83.2
04539335,D Wheatley,Waqas Barkat,77.3,AG Cremer,77.2,N Nuntarach,76.1
04628837,Sagor Hossain,FJ Klaassen,90.6,V Baskaran,85.0,AG Cremer,78.1
0467bd8d,Ranjit Singh,GF Linde,85.5,T Banton,84.7,MW Short,82.9
0474fd64,KB Patil,Mohamed Rishwan,74.8,G Bakiweyem,74.4,N Nuntarach,72.1
04855b85,K Vislapuu,S Yeshi,73.9,B Muzarabani,63.9,Jaswinder Singh,55.0
04a418e8,R Parag,Sohaib Maqsood,87.4,GH Dockrell,85.6,Yasim Murtaza,85.4
04ab1575,S Ivetic,S Bau,89.1,AP Yadav,87.8,Chirag Suri,85.0
04bc296f,D Sabir,Jordan O'Brien,81.6,VD Adewoye,78.0,B Masaba,77.2
04cf2e94,A Morris,Abdur Razzak,86.2,K Piet,83.9,Bilal Khan,83.2
04df9697,JAM Henri,G Bakiweyem,79.9,Haris Rauf,75.1,T Tshose,74.5
04e0cdec,R Lutaaya,RN Patel,82.2,A Turay,78.2,PR Stirling,75.1
04ed04d2,Ali Zaheer,Hisham Sheikh,87.0,S Foster,85.1,S Vesawkar,82.7
04f0d409,S Pradhan,N Mugabe,83.7,G Kansonkho,77.5,Aman Desai,77.2
050bdc77,Azin Rafeeg,Bilal Khan,88.8,CA Young,84.6,Abdur Razzak,83.6
053f3ce3,D Ravu,B Muzarabani,87.0,PVD Chameera,82.5,A Shukla,82.3
0544b8a9,SMHH Aung,B Muzarabani,91.9,S Yeshi,84.4,Abdur Razzak,80.3
056b433b,Ishtiaq Ahmad,Usman Najeeb,82.6,P Useni,81.6,Sayed Monib,80.6
056e3558,A Augastin,K Motlanka,74.3,L Bruce,73.0,CR Ervine,72.2
059ec7a5,B Kgosiemang,K Piet,77.7,M Theekshana,73.8,Bilal Khan,72.5
05c2ca46,RE van der Merwe,Ali Naseer,80.2,AR Patel,73.4,I Udana,73.0
05cf8905,Shakerullah Safi,S Yeshi,84.1,B Muzarabani,81.6,Abdur Razzak,78.7
05d74535,Saeed Ajmal,MG Johnson,79.4,PA van Meekeren,71.1,Mustafizur Rahman,70.8
05de1a5a,GC Wilson,CS MacLeod,90.5,S Movva,88.9,LD Chandimal,86.2
05e0fab5,CS Martin,B Kumar,81.1,AU Rashid,80.9,Pavandeep Singh,80.2
05ea0342,J Dzulfikar,Ahmed Raza,69.6,Hassan Rasheed,60.7,Muhammad Nadir,57.2
05f96194,MA Jones,PS Athavale,86.8,RT Ponting,86.0,MD Patel,85.4
0605de92,HD Rutherford,Saqlain Arshad,88.0,ST Jayasuriya,87.4,Soumya Sarkar,87.0
068c47d2,JJ Davidson,B Kumar,83.3,AU Rashid,80.7,Pavandeep Singh,72.6
06907633,AR Nair,AN Toube,78.6,B Muzarabani,78.2,FJ Klaassen,76.8
0697b5a1,NN Banner,D Heyliger,80.4,P Useni,79.8,Mohammad Naveed,72.6
06989091,Javid Patel,T Wangchuk,85.4,Mohamed Azzam,77.4,N Nuntarach,73.7
06adaa46,D Siva Kumar,D Jakiel,75.4,AJ Jabiri,69.4,Khin Aye,69.1
06b387f1,Waseem Yaqoob,AK Mohan,77.3,J Singye,72.9,Thuya Aung,71.0
06b45b20,A Venkatesh,A Kirschbaum,82.7,S Ravichandran,82.4,Hammad Mirza,80.9
06b766f4,R Francis,B Muzarabani,89.3,AN Toube,78.9,S Yeshi,78.7
06b8bdb3,AM Rajpurohit,HR Walsh,74.0,Kim Daeyeon,71.2,S Yeshi,67.6
06bcade5,ASF Sirah,B Bhandari,92.9,H Carlyon,88.6,Sazib Bhuiyan,86.9
06c2de82,L Gregory,Umair Qasim,83.6,AJ Hosein,77.8,MRJ Watt,76.2
06cad4f0,A Sharafu,Walid Ghauri,98.0,P Nissanka,97.7,BB McCullum,96.8
06fc82b8,T Musekiwa,Nasrulla Rana,78.5,DJ Hawoe,77.6,Mosaddek Hossain,76.4
07160156,A Tripathi,R Hekure,82.3,B Muzarabani,76.5,Kim Daeyeon,75.5
0730a707,SI Kamea,Ibrahim Rizan,84.3,CA Young,84.2,A Zampa,83.3
073126d6,LS Barkania,CA Young,77.7,A Zampa,77.2,Ibrahim Rizan,75.6
073ef5a0,S Pokhriyal,Praveen Santhanakrishnan,56.8,S Desungnoen,52.4,G Singh,52.3
074acfb4,Asif Khan,Luqman Butt,92.3,Saim Ayub,91.6,YS Samra,91.0
07687c15,Sultan Ahmed,Muhammad Wafiq,82.7,AF Milne,81.8,Z Bimenyimana,80.7
0782aec3,Muhammad Ajmal,P Suanchuai,80.5,D Wheatley,76.9,H Lin Aung,76.3
07ac9c54,C Roberts,IA Karim,92.7,TWM Latham,92.4,BA Pai,92.0
07b6f54c,DDP D'Silva,S Foster,76.7,J Barker,74.5,S Vesawkar,74.3
07e5bda2,L Monanthane,N Nuntarach,85.2,Abdur Razzak,79.3,AG Cremer,76.4
07ff32f5,Khurram Nawaz,Ismail Ali,79.3,RN ten Doeschate,73.0,Awais Ahmed,71.1
0813a8b1,D Marks,SP Narine,74.2,JP Faulkner,72.5,R Ashwin,69.8
0837bb5f,Sanjay Kumar,SW Poynter,90.7,GD Elliott,87.6,JP Faulkner,85.9
083e01d9,Matiullah Khan,CA Young,92.7,Bilal Khan,86.5,A Zampa,85.5
083ffc5d,Komang Putra,CA Young,78.9,Bilal Khan,76.1,B Kumar,76.0
0848ac5f,S Thakor,P Murungi,83.0,Sahir Naqash,81.9,Aminuddin Ramly,78.1
085071f2,Amit Uniyal,Khin Aye,74.7,K Piet,72.5,Thuya Aung,65.9
08548b13,PHKD Mendis,Wasim Ali,87.4,TLW Cooper,87.1,SG Mangela,85.9
085c1a4c,Ziaur Rehman,J Singye,76.4,Y Jalloh,74.6,R Rohan,70.9
086f5984,Junaid Khan,A Zampa,66.4,Ibrahim Rizan,64.3,G Bakiweyem,64.1
089ebf89,K Juma,B Muzarabani,92.8,S Yeshi,87.8,Abdur Razzak,78.7
08a4f9ad,DC Thomas,AF Milne,94.3,D Klein,87.7,Muhammad Wafiq,86.9
08deefa3,Guillermo Aburto,S Yeshi,72.5,H Lin Aung,68.7,P Suanchuai,63.5
08df0bd3,A Rangaswamy,AJ Ayannaike,80.3,PVD Chameera,78.9,TK Joseph,73.6
08fda2e1,Shoaib Khan jnr,Bilal Khan,84.2,K Piet,83.5,Abdur Razzak,81.4
090f9211,Shahadat Hossain,FJ Klaassen,88.7,AG Cremer,88.5,B Muzarabani,85.2
090f96e4,Muhammad Nadir,SL Malinga,78.5,Dawood Ahmadzai,77.5,E Rukiriza,75.5
091880f7,Shantanu Kaveri,E Rukiriza,74.7,B Masaba,71.9,Dawood Ahmadzai,70.4
092ccf20,JS Kundi,Ibrahim Hassan,82.7,M Taniyama,70.6,B Kumar,69.7
0939c670,MA Ouma,B Muzarabani,59.7,H Lin Aung,59.5,AN Toube,58.7
094ebfb6,R Avery,B Muzarabani,81.9,P Suanchuai,79.8,AJ Jabiri,76.7
096601c5,DKJ Claude,AN Toube,84.4,J Jemison,78.8,P Suanchuai,76.2
098a757c,Muhammad Jawadullah,CA Young,79.5,A Zampa,77.0,AU Rashid,74.8
099135ad,Aryan Lakra,N Nuntarach,62.6,Mohameed Taiwo,61.3,D Wheatley,61.2
0994d0ae,V Shankar,JM Bairstow,90.4,JG Bethell,88.4,HG Munsey,87.5
0996f198,Luka Woods,C Kieswetter,82.3,J Baker,79.1,KC Ramamoorthy,78.7
09a9d073,J Charles,JJ Roy,89.5,BA King,89.2,A Balbirnie,88.9
09c766ec,Mohsin Zaki,Pavandeep Singh,81.8,B Kumar,79.6,KMDN Kulasekara,76.1
09e5baeb,GF Cardos,P Suanchuai,89.0,N Nuntarach,85.1,S Conteh,79.1
09e86895,Pyae Phyo Wai,S Desungnoen,79.4,D Ndikubwimana,72.8,A Natubhai Ahir,71.5
0a15f357,Prashant Shukla,Ijaz Hussain,62.1,Saeed Ajmal,56.7,AU Rashid,56.1
0a4736eb,Asif Ali,FH Allen,96.0,Abhishek Sharma,95.8,Syed Aziz,94.9
0a476045,S Dhawan,Tamim Iqbal,96.5,BKG Mendis,96.0,KL Rahul,95.8
0a4ebc61,T Henderson,B Muzarabani,86.0,S Yeshi,84.5,Abdur Razzak,81.4
0a509d6b,RK Singh,KA Pollard,93.3,TH David,91.8,S Dube,91.3
0a5718ef,Iftekar Jaman,Shahid Afridi,86.9,CV Anto,85.5,P Useni,84.4
0a8fce53,Mustafizur Rahman,Ali Dawood,80.4,P Utseya,79.9,I Ntirenganya,79.0
0ab42b8d,J Kemp,FJ Klaassen,85.3,CA Young,81.4,Abdul Majid Abbasi,79.5
0abb2525,M Heingo,B Muzarabani,84.4,S Yeshi,83.4,Abdur Razzak,82.9
0abc33ff,Muhammad Umar,D Myers,88.1,NR Kumar,84.6,SS Iyer,84.0
0abf3da7,A Kadowaki Fleming,Shoaib Malik,91.2,Riazat Ali Shah,91.1,JW Jenner,90.1
0ac067e8,DR Hooper,GD Elliott,86.2,DL Vettori,79.9,Hisham Sheikh,79.2
0b07cb5e,OJR Groves,V Kohli,95.0,Mohammad Rizwan,92.6,Babar Azam,91.5
0b0cc297,Tanzim Hasan Sakib,CJ Jordan,75.3,PD Collingwood,72.6,Fayyaz Butt,72.0
0b130202,CL Cairns,V Baskaran,84.6,B Muzarabani,83.3,FJ Klaassen,82.2
0b37840b,J Dickinson,CN Onwuzulike,77.0,Mehedi Hasan Miraz,76.5,Saad Bin Zafar,76.4
0b581ed6,J Sumerauer,I Takahashi,91.6,Delawar Khan,89.3,L Ronchi,88.7
0b60eb09,KA Maharaj,LV van Beek,81.4,SM Sharif,81.2,Sandeep Goud,75.5
0b7b78c6,Hammad Mirza,Arjun Vinod,86.6,MNM Aslam,85.2,BFW de Leede,81.1
