bowler_id,bowler,comp_1,sim_1,comp_2,sim_2,comp_3,sim_3
00029c30,M Mwamadi,S Muniandy,79.7,D Abeyrathna,75.9,TM Dilshan,72.0
00321fff,Mohammad Ghazanfar,Taranjeet Singh,80.4,Sarfaraz Ali,80.3,A Morris,80.3
00467a76,S Bodha,CA Young,95.2,B Evans,94.5,Abbas Afridi,94.1
007113d7,HAM Shah,AJ Parmar,96.4,PF Gallagher,93.6,H Rathod,91.0
008589a4,CM Wright,Wahidullah Sahak,83.0,Usman Qadir,77.4,Abbas Afridi,76.1
00863408,MTMMJ Ave,AL Stephen,77.1,Joshua Asia,75.9,MB Tambe,73.9
008a024c,M Mooketsi,F Banunaek,95.4,D Klein,95.1,Muhammad Nadir,94.7
0095a0e3,Noah Mead,NLTC Perera,74.7,E Chigumbura,73.7,JT Brassell,69.4
00c98c78,NH Ekanayake,R Mangal,65.1,Surya Anand,63.4,D Abeyrathna,58.2
00d69fa4,SO Tikolo,Umair Tariq,85.3,LA Burns,79.0,Raja Adeel,78.8
01127aa9,J Buchanan,GB Hogg,89.9,JC Tredwell,83.3,WP Masakadza,82.3
011f6b42,RG Mukasa,A Limdawala,60.0,M Choamba,59.6,Surya Anand,59.6
012829ff,JW Hastings,Nasum Ahmed,87.4,J Little,84.2,K Rabada,80.9
014da3d8,Paras Singh,N Pradeep,70.9,RM Dorji,58.4,Hisham Sheikh,54.8
01549705,J van Heerden,H Rathod,81.3,Kuldeep Yadav,81.2,KP Meiyappan,80.9
015dc0cd,K Mendon,KK Lin Thu,84.7,DK Anefie,78.0,Ahmadullah Shinwari,71.3
01679383,DB Loic,P Aho,77.5,G Bakiweyem,74.7,G Sesay,74.5
017faef2,Z Groenewald,Mohammad Ghazanfar,82.0,Sarfaraz Ali,81.0,SKS Gill,78.4
018f6488,M Gouws,K Mirpuri,74.7,E Mathew,69.2,HH Pandya,63.1
019d7ef5,Mohamed Turay,F Akankwasa,78.0,W Madhevere,77.4,SKS Gill,76.7
01b0d0a4,J Proctor,WJ Cope,72.5,K Piet,71.7,E Rukiriza,68.0
01b45044,Mohammad Amin,E Mathew,76.0,K Vislapuu,74.5,Sheraz Sheikh,72.9
01c05b6c,RJ Hatchman,KMA Paul,80.6,Arjun Vinod,71.4,N Pradeep,71.3
0226b73a,Imran Haider,S Shrivastava,86.1,Amar Sharma,73.8,VD Adewoye,72.8
023c40b8,Zhao Tianle,RJ Hatchman,75.9,N Pradeep,68.1,Arjun Vinod,65.5
023f6b02,Nadeem Ahmed,KDA Lukies,95.3,CW Perchard,94.1,JJ Bumrah,94.0
024a173d,J Nyumbu,JT Brassell,69.7,T Gwandu,62.9,PR Surve,61.6
026e1314,Ali Yalmaz,Haroon Arshad,84.8,HER Tyler,82.7,NN Odhiambo,77.7
027662be,J Evans,CV Varun,96.9,Bilal Khan,93.9,Fitri Sham,91.9
02888f23,A Donovan,CPPM Sadun,81.6,S Bau,81.5,Iftikhar Ahmed,79.6
02b078b1,P Malav,Sazib Bhuiyan,92.5,S Bodha,92.1,SC van Schalkwyk,90.8
02b87bde,LW Potthoff,Umair Tariq,86.5,MM Baig,83.5,BD Glover,82.5
02d11602,AA Banner,GD Phillips,69.8,GJ Maxwell,64.9,Abhishek Sharma,64.7
02e83ac5,Naeem Islam,DT Tiripano,80.8,JDP Oram,77.9,C Campher,76.0
032c7eab,Khaibar Deldar,T Jamtsho,61.6,Gagandeep Singh,59.3,Danyal Raja,54.7
0331c99a,Hassan Mehmood,R Kalimuthu,97.2,CBRLS Kumara,93.5,S Gooch,91.5
033e9d59,Arjun Vinod,MJ Clarke,81.2,Nimish Lathief,81.2,Ameel Mauroof,80.2
034d3c52,A Husain,Junaid Siddiqui,73.0,R Coker,72.9,VP Thamotharam,66.3
036dcf9b,Saber Zakhil,NM Odhiambo,81.0,C Pengkumta,72.4,G Chohan,68.4
0371cc19,K Govind,HT Tector,75.3,KA Pollard,72.3,C Rububagumya,69.4
03806cf8,JR Hazlewood,B Muzarabani,97.4,TA Boult,96.0,MJ Henry,95.3
0393fbdc,A Pusthay,BD Glover,84.2,NK Yadav,82.6,Muhammad Moiz,80.7
039cabd9,TS Waqavakatoga,W Madhevere,78.5,RP Burl,78.5,CJ Anderson,78.3
03a83c50,V Viyaskanth,A Limdawala,52.8,BJ McMullen,51.4,Surya Anand,48.4
03b9ec54,E Packard,ROC Dunka,71.9,SJ Benn,71.3,C Bah,69.7
03beb59f,Luis Hermida,C Udekwe,92.5,T Wangchuk,90.5,P Aho,90.0
03c94c2f,J Grzinic,N Pradeep,77.0,RM Dorji,61.4,RJ Hatchman,56.1
03ef382c,ZE Matsinhe,BJ McMullen,87.6,A Limdawala,84.6,Surya Anand,71.1
0443414a,Sajedul Islam,RJ Hatchman,73.5,N Pradeep,69.3,Ayan Khan,64.6
04539335,D Wheatley,RJ Hatchman,81.1,KMA Paul,70.7,DV Varghese,66.7
04855b85,K Vislapuu,E Chigumbura,82.0,Ayan Khan,75.5,R Satheesan,73.0
04a418e8,R Parag,MA Baig,87.1,JEC Franklin,84.1,JN Loftie-Eaton,82.8
04ab1575,S Ivetic,HN Ya France,67.2,VP Thamotharam,67.2,GH Dockrell,65.3
04bc296f,D Sabir,B Ward,91.1,B Regmi,89.2,Aqib Ilyas,87.2
04cf2e94,A Morris,Shakeel Ahmed,95.8,Ehsan Khan,94.2,Haider Ali,93.2
04df9697,JAM Henri,A Shukla,87.1,Mohamed Shafeeq,86.6,Naseem Shah,83.2
04f0d409,S Pradhan,SZ Vayani,84.6,J Kariko,65.7,D Wotu,64.5
053f3ce3,D Ravu,JO Holder,90.0,CBRLS Kumara,89.2,Ali Naseer,88.4
0544b8a9,SMHH Aung,N Pradeep,72.5,HER Tyler,69.3,KMA Paul,68.6
056b433b,Ishtiaq Ahmad,CW Perchard,95.7,Waqas Ahmad,95.0,Ali Nayyer,94.2
056e3558,A Augastin,Festus Benn,81.1,RR Patel,77.1,SA Okpe,73.1
056f58dd,KC Hodsoll,RJ Sidebottom,90.0,R Kalimuthu,88.4,S Gooch,87.8
059ec7a5,B Kgosiemang,IK Pathan,85.4,Mohammed Shami,84.4,SM Nash,84.1
05c2ca46,RE van der Merwe,CN Greaves,90.8,Sikandar Raza,87.7,Khawar Ali,87.3
05cf8905,Shakerullah Safi,Arjun Vinod,64.3,Ayan Khan,63.6,PHKD Mendis,51.9
