id_a,name_a,id_b,name_b,team,innings_a,innings_b,reason
0dc00542,Shahid Afridi,2cec2a92,Abbas Afridi,Pakistan,86,15,same_surname_same_team_no_match_overlap
0dc00542,Shahid Afridi,45a7e761,Shaheen Shah Afridi,Pakistan,86,40,same_surname_same_team_no_match_overlap
214cf493,KB Ahir,af3042f1,P Suman Bhai Ahir,Panama,6,5,same_surname_same_team_no_match_overlap
214cf493,KB Ahir,ce9ee68f,DK Dahyabhai Ahir,Panama,6,6,same_surname_same_team_no_match_overlap
214cf493,KB Ahir,d11e0c76,Sanjay Kumar Ahir,Panama,6,5,same_surname_same_team_no_match_overlap
214cf493,KB Ahir,da09ca26,Breeze Ahir,Panama,6,10,same_surname_same_team_no_match_overlap
af3042f1,P Suman Bhai Ahir,c2ecd4a7,N Ahir,Panama,5,6,same_surname_same_team_no_match_overlap
c2ecd4a7,N Ahir,ce9ee68f,DK Dahyabhai Ahir,Panama,6,6,same_surname_same_team_no_match_overlap
c2ecd4a7,N Ahir,d11e0c76,Sanjay Kumar Ahir,Panama,6,5,same_surname_same_team_no_match_overlap
c2ecd4a7,N Ahir,da09ca26,Breeze Ahir,Panama,6,10,same_surname_same_team_no_match_overlap
37654b75,Nasum Ahmed,53bc7b84,Aftab Ahmed,Bangladesh,19,10,same_surname_same_team_no_match_overlap
53bc7b84,Aftab Ahmed,ef18b66e,Taskin Ahmed,Bangladesh,10,36,same_surname_same_team_no_match_overlap
3bf7c034,Sultan Ahmed,e29e9c12,Shakeel Ahmed,Oman,8,25,same_surname_same_team_no_match_overlap
2254ab79,Sarfraz Ahmed,abb7c76c,Abrar Ahmed,Pakistan,40,5,same_surname_same_team_no_match_overlap
29e253dd,Iftikhar Ahmed,456f6d99,Mukhtar Ahmed,Pakistan,51,6,same_surname_same_team_no_match_overlap
29e253dd,Iftikhar Ahmed,abb7c76c,Abrar Ahmed,Pakistan,51,5,same_surname_same_team_no_match_overlap
456f6d99,Mukhtar Ahmed,abb7c76c,Abrar Ahmed,Pakistan,6,5,same_surname_same_team_no_match_overlap
3748955d,Amir Ali,ea59139a,Wasim Ali,Oman,6,15,same_surname_same_team_no_match_overlap
934b36a6,Khawar Ali,ea59139a,Wasim Ali,Oman,27,15,same_surname_same_team_no_match_overlap
0a4736eb,Asif Ali,eb2d5fe7,Anwar Ali,Pakistan,48,10,same_surname_same_team_no_match_overlap
2911de16,Hasan Ali,eb2d5fe7,Anwar Ali,Pakistan,20,10,same_surname_same_team_no_match_overlap
c13e34f4,Haider Ali,eb2d5fe7,Anwar Ali,Pakistan,31,10,same_surname_same_team_no_match_overlap
dd572696,Haider Ali,e4271302,Amjad Ali,United Arab Emirates,11,5,same_surname_same_team_no_match_overlap
2e9fdf9b,DAJ Bracewell,e38bce7a,MG Bracewell,New Zealand,11,29,same_surname_same_team_no_match_overlap
0f05655d,Tashi Dorji,80058153,Karma Dorji,Bhutan,10,6,same_surname_same_team_no_match_overlap
1d048deb,BOP Fernando,342d8ade,CRD Fernando,Sri Lanka,6,5,same_surname_same_team_no_match_overlap
342d8ade,CRD Fernando,9550470d,WIA Fernando,Sri Lanka,5,37,same_surname_same_team_no_match_overlap
342d8ade,CRD Fernando,dabbd0ae,B Fernando,Sri Lanka,5,7,same_surname_same_team_no_match_overlap
72b245dd,Anamul Haque,ad1730bc,Ariful Haque,Bangladesh,18,7,same_surname_same_team_no_match_overlap
17efdeb8,Raqibul Hasan,80fe764d,Tanzid Hasan,Bangladesh,5,40,same_surname_same_team_no_match_overlap
17efdeb8,Raqibul Hasan,9dad0f2e,Mahedi Hasan,Bangladesh,5,43,same_surname_same_team_no_match_overlap
17efdeb8,Raqibul Hasan,d365d463,Nurul Hasan,Bangladesh,5,46,same_surname_same_team_no_match_overlap
7c885103,Ahmed Hassan,f6e160d7,Shaof Hassan,Maldives,13,10,same_surname_same_team_no_match_overlap
37138918,Afif Hossain,6eea0b32,Nasir Hossain,Bangladesh,58,20,same_surname_same_team_no_match_overlap
5935d694,Rishad Hossain,6eea0b32,Nasir Hossain,Bangladesh,29,20,same_surname_same_team_no_match_overlap
5935d694,Rishad Hossain,8919756f,Mosaddek Hossain,Bangladesh,29,26,same_surname_same_team_no_match_overlap
5935d694,Rishad Hossain,f56cd097,Rubel Hossain,Bangladesh,29,12,same_surname_same_team_no_match_overlap
6eea0b32,Nasir Hossain,711249d1,Shamim Hossain,Bangladesh,20,32,same_surname_same_team_no_match_overlap
6eea0b32,Nasir Hossain,8919756f,Mosaddek Hossain,Bangladesh,20,26,same_surname_same_team_no_match_overlap
711249d1,Shamim Hossain,8919756f,Mosaddek Hossain,Bangladesh,32,26,same_surname_same_team_no_match_overlap
711249d1,Shamim Hossain,f56cd097,Rubel Hossain,Bangladesh,32,12,same_surname_same_team_no_match_overlap
261d591a,Firas Hussain,d300d274,Saim Hussain,Bulgaria,9,16,same_surname_same_team_no_match_overlap
b3b39bed,Aqib Ilyas,d376bbaa,Adnan Ilyas,Oman,46,8,same_surname_same_team_no_match_overlap
02e83ac5,Naeem Islam,bb34fd31,Shoriful Islam,Bangladesh,10,16,same_surname_same_team_no_match_overlap
