batter_id,batter,comp_1,sim_1,comp_2,sim_2,comp_3,sim_3
00ea847a,MA Agarwal,JR Hopes,86.1,AJ Finch,85.0,SW Billings,84.5
0184dc35,R Dravid,JH Kallis,94.7,MEK Hussey,94.4,KC Sangakkara,92.7
025c4400,MJ Suthar,RP Singh,87.4,PP Ojha,83.0,AB Dinda,79.6
0264c10e,D Salunkhe,Bipul Sharma,65.9,AB Agarkar,63.5,M Vohra,60.0
030f3089,K Yadav,S Nadeem,91.8,A Nehra,91.7,AB Dinda,84.5
034b4b7d,VRV Singh,RD Chahar,60.2,MJ McClenaghan,50.5,AP Tare,42.2
03806cf8,JR Hazlewood,A Nehra,85.5,S Nadeem,83.1,MM Sharma,77.6
03a83c50,V Viyaskanth,DL Vettori,69.2,R Ashwin,68.5,A Kumble,60.7
0404d43c,Liton Das,RD Chahar,50.0,AP Tare,47.5,SA Asnodkar,43.9
0494fa6e,Vishnu Vinod,MA Starc,73.9,I Sharma,59.9,A Kumble,57.3
04a418e8,R Parag,S Dube,95.5,H Klaasen,95.2,N Wadhera,92.6
05c2ca46,RE van der Merwe,CH Morris,73.0,BCJ Cutting,63.1,SN Thakur,60.6
0604ef16,SB Bangar,NM Coulter-Nile,51.2,RJ Harris,49.2,JC Archer,43.8
063b3673,DH Yagnik,AB Agarkar,70.4,JD Unadkat,59.5,Harbhajan Singh,58.5
08548b13,PHKD Mendis,Mandeep Singh,67.8,SC Ganguly,61.5,Shakib Al Hasan,59.3
0890552f,A Manohar,RS Bopara,48.6,EJG Morgan,48.5,HV Patel,43.9
0994d0ae,V Shankar,A Badoni,92.0,OA Shah,90.7,DA Miller,90.2
0a3d54b9,VR Aaron,PP Ojha,83.3,Ravi Bishnoi,81.4,YS Chahal,79.5
0a476045,S Dhawan,G Gambhir,96.6,DP Conway,96.5,SR Tendulkar,96.4
0a4ebc61,T Henderson,SL Malinga,57.8,A Manohar,56.8,PWH de Silva,56.0
0a509d6b,RK Singh,MP Stoinis,95.5,S Dube,94.5,H Klaasen,92.5
0a67aec0,Akash Deep,K Gowtham,88.1,M Shahrukh Khan,77.9,JD Unadkat,77.9
0a8fce53,Mustafizur Rahman,A Nehra,92.9,S Nadeem,90.8,MM Sharma,90.7
0aadc906,PR Shah,GH Vihari,77.5,SK Warne,67.2,A Mishra,66.4
0b60eb09,KA Maharaj,RP Singh,86.1,PP Ojha,82.6,AB Dinda,80.3
0bacade8,Rahmanullah Gurbaz,Priyansh Arya,66.4,BB McCullum,62.9,P Simran Singh,62.8
0c2730df,A Kumble,Kuldeep Yadav,85.7,RP Singh,80.9,MA Starc,80.2
0c432afb,P Parameswaran,RP Singh,84.7,PP Ojha,75.2,JJ Bumrah,73.4
0c94f480,UBT Chand,Lalit Yadav,71.1,Shahbaz Ahmed,69.0,Gurkeerat Singh,64.5
0c9652b0,HR Shokeen,M Kaif,68.6,CA Pujara,65.2,Y Nagar,58.5
0d232ffd,MA Khote,JD Unadkat,59.2,M Shahrukh Khan,46.8,R Dhawan,46.2
0dc00542,Shahid Afridi,PJ Cummins,77.5,K Gowtham,74.0,MK Lomror,68.8
0ebfb1ad,E Lewis,TM Head,92.2,KK Nair,92.0,Priyansh Arya,89.0
0ed0cdbf,H Das,AB Dinda,92.2,S Nadeem,88.2,PP Ojha,87.5
0f12f9df,NLTC Perera,MP Stoinis,81.0,JA Morkel,79.9,P Negi,79.9
0f721006,JO Holder,Abdul Samad,72.2,B Lee,63.8,LR Shukla,63.6
0fa5042b,L Ronchi,MM Sharma,64.1,RD Chahar,62.8,MJ McClenaghan,62.7
107c26fb,KT Maphaka,DB Das,73.1,JD Unadkat,71.1,K Gowtham,68.7
10a91f35,Shoaib Akhtar,TG Southee,74.9,Ravi Bishnoi,69.4,AB Dinda,69.1
11614d87,D Pretorius,Mohammad Nabi,72.0,B Lee,57.0,MK Lomror,56.7
119678fd,KV Sharma,R Bhatia,83.6,R Dhawan,80.4,Bipul Sharma,79.7
11df3dc8,MJ Lumb,BB McCullum,76.1,CA Lynn,72.4,AC Gilchrist,69.9
12314277,Arshad Khan,Sandeep Sharma,47.9,UT Yadav,47.2,Mohammad Nabi,46.7
12314277,Arshad Khan (2),SA Asnodkar,45.2,AP Tare,39.6,DH Yagnik,34.4
12b610c2,TM Head,E Lewis,92.2,YBK Jaiswal,91.5,Priyansh Arya,91.1
12eddf28,RJ Harris,S Gopal,69.8,R Vinay Kumar,69.1,Z Khan,68.1
1399b39c,Anmolpreet Singh,MS Bisla,71.4,CA Pujara,67.1,WP Saha,55.8
13c35c9e,TG Southee,AB Dinda,86.8,B Kumar,83.4,PWH de Silva,80.1
13fc5c6d,DS Rathi,S Nadeem,87.2,AB Dinda,86.9,A Nehra,86.9
14b14cd8,DM Bravo,MG Johnson,43.7,Kuldeep Yadav,43.2,Mohammed Shami,34.5
14f96089,A Zampa,R Ashwin,58.4,NM Coulter-Nile,55.8,DL Vettori,52.0
16043342,AB McDonald,R Sathish,78.9,AD Mathews,70.5,SS Tiwary,70.1
1647bd37,Karanveer Singh,MA Starc,74.1,RP Singh,72.5,A Kumble,66.7
16dfcc19,Umar Gul,K Gowtham,90.6,M Shahrukh Khan,85.6,PJ Cummins,84.8
172dff15,C Bosch,DJG Sammy,83.1,RN ten Doeschate,79.9,MS Dhoni,72.2
1763bc6c,X Thalaivan Sargunam,MM Sharma,63.3,SP Goswami,63.0,SK Warne,55.6
18c78b11,RE Levi,KK Nair,58.1,ST Jayasuriya,55.4,JD Ryder,54.3
18e6906e,A Choudhary,JD Unadkat,85.5,M Shahrukh Khan,83.6,K Gowtham,74.7
1a0c3177,P Awana,A Nehra,95.1,S Nadeem,94.4,AB Dinda,91.3
1a156c88,DJM Short,RN ten Doeschate,55.4,Y Nagar,54.3,AM Nayar,50.0
1a2676c5,SA Abbott,M Shahrukh Khan,45.9,R Powell,39.5,K Gowtham,39.3
1abb78f8,SN Thakur,Rashid Khan,74.6,Washington Sundar,61.8,Ashutosh Sharma,61.0
1ac746c8,Atharva Taide,WP Saha,88.5,RG Sharma,86.6,S Dhawan,83.0
1b7b0fa7,Vivrant Sharma,RS Bopara,91.4,BJ Hodge,80.6,JP Duminy,78.3
1be70c88,LPC Silva,V Sehwag,81.2,A Raghuvanshi,77.3,PJ Cummins,77.2
1c17e270,RV Uthappa,SK Raina,95.7,Ishan Kishan,94.7,DR Smith,93.5
1c2a64cd,A Ashish Reddy,JA Morkel,92.4,Bipul Sharma,85.8,DJ Bravo,84.6
1c914163,Yuvraj Singh,SR Watson,92.7,R Parag,89.4,AB de Villiers,89.3
1da489ff,S Kaushik,MM Sharma,87.8,S Nadeem,87.3,A Nehra,84.7
1dc12ab9,SK Raina,RV Uthappa,95.7,KP Pietersen,94.4,RR Pant,94.3
1e66c162,JD Unadkat,K Gowtham,84.6,R Vinay Kumar,79.9,Harpreet Brar,77.5
1ee08e9a,JA Richardson,YS Chahal,77.6,PP Chawla,72.2,S Nadeem,71.3
1efb8a28,AC Blizzard,JD Ryder,85.4,KK Nair,82.9,RR Rossouw,78.3
1fc6ef83,SD Hope,AR Patel,87.0,S Dube,79.1,A Raghuvanshi,78.9
2049f3a0,SJ Srivastava,MA Starc,73.9,A Kumble,73.9,DL Vettori,69.8
20a941bb,M Ntini,SL Malinga,69.6,HV Patel,61.7,Mohammed Siraj,60.2
21d4e29b,Navdeep Saini,UT Yadav,70.2,RP Singh,65.7,PP Ojha,63.7
235c2bb6,H Klaasen,S Dube,96.5,RM Patidar,96.3,R Parag,95.2
23ac69e6,RJ Quiney,SA Asnodkar,69.0,SW Billings,60.6,AJ Finch,56.9
23cca426,OF Smith,SL Malinga,65.9,B Lee,64.0,MG Johnson,45.3
23eeb873,DL Chahar,CH Morris,67.6,HV Patel,60.1,RE van der Merwe,59.4
244048f6,Arshdeep Singh,I Sharma,86.5,Ravi Bishnoi,84.1,RP Singh,83.3
245c97cb,TS Mills,MM Sharma,89.9,S Nadeem,86.0,A Nehra,85.9
2461eef2,PA Reddy,AL Menaria,72.0,PA Patel,67.4,JH Kallis,66.7
2498e163,JR Hopes,MA Agarwal,86.1,AK Markram,84.9,AJ Finch,84.1
249d60c9,AU Rashid,SA Asnodkar,70.6,SW Billings,62.3,N Rana,59.7
24d94623,Ankit Sharma,DS Kulkarni,79.5,M Jansen,77.4,Mohammed Shami,75.4
25eeb281,PC Valthaty,TM Dilshan,82.8,D Padikkal,77.8,JD Ryder,76.6
25f7b7d6,T Banton,DB Das,57.6,NV Ojha,47.0,MK Lomror,46.4
26989d80,Shashank Singh,H Klaasen,91.8,C Green,91.7,Dhruv Jurel,90.3
26a85969,R Dhawan,AB Agarkar,92.0,R Bhatia,84.1,R Vinay Kumar,80.7
26d041c4,Sikandar Raza,DJ Mitchell,83.6,MK Pandey,83.1,SM Curran,82.4
26d76ad9,Virat Singh,S Nadeem,65.0,MM Sharma,62.6,SP Goswami,59.2
26e5cabf,MK Tiwary,G Gambhir,91.9,KC Sangakkara,90.7,DPMD Jayawardene,88.5
