bowler_id,bowler,country,matches,total_overs,total_wickets,career_economy,career_sr_bowl,phase_group,score_accuracy,score_control,score_threat,overall_score,overall_grade,grade_accuracy,grade_control,grade_threat,archetype,avg_wicket_quality_mean,bowled_lbw_pct,peak_composite_bowling,peak_window_composite,flat_track_index_bowl,war_bowling,war_bowling_rate,clutch_index_bowl,pressure_spells,avg_dominance_bowl,pct_dominant_bowl,bowl_first_index,bowl_second_index,condition_dependence_index_bowl,condition_dependence_tag_bowl,condition_spread_bowl,is_provisional_bowl
8b5b6769,Harbhajan Singh,Mumbai Indians,160,569.33,161,7.2,21.22,middle_heavy,100.0,100.0,97.2,99.8,S,S,S,S,Death Specialist,0.76,0.23,0.64,0.62,-0.02,3.05,0.02,-0.2,13,-0.93,0.85,-0.07,0.07,0.03,Conditions-Proof,-0.01,False
9d430b40,SP Narine,Kolkata Knight Riders,187,725.17,212,6.93,20.52,middle_heavy,100.0,100.0,100.0,100.0,S,S,S,S,Death Specialist,0.79,0.37,1.05,1.0,-0.03,3.67,0.02,-0.09,16,-0.94,0.83,-0.05,0.05,-0.03,Conditions-Proof,0.0,False
462411b3,JJ Bumrah,Mumbai Indians,145,559.83,203,7.43,16.55,death_heavy,100.0,96.9,100.0,99.7,S,S,S,S,Death Specialist,0.77,0.32,0.94,1.6,0.09,3.93,0.03,-0.36,20,-1.08,0.83,0.09,-0.09,0.14,Conditions-Proof,0.08,False
a12e1d51,SL Malinga,Mumbai Indians,122,471.17,188,7.4,15.04,pp_heavy,100.0,100.0,99.5,100.0,S,S,S,S,Death Specialist,0.85,0.39,0.73,1.03,-0.04,3.5,0.03,-0.19,15,-1.19,0.89,-0.04,0.04,0.04,Conditions-Proof,0.03,False
6b19d823,A Mishra,Delhi Daredevils,162,561.83,183,7.46,18.42,middle_heavy,98.8,100.0,99.2,100.0,S,S,S,S,Death Specialist,0.82,0.22,0.62,1.01,-0.09,3.08,0.02,-0.01,23,-1.03,0.85,-0.05,0.05,0.0,Conditions-Proof,0.02,False
8fd1a8f5,DW Steyn,Sunrisers Hyderabad,95,363.67,105,7.1,20.78,pp_heavy,98.7,97.8,80.7,93.1,A+,S,S,A,Death Specialist,0.72,0.3,0.75,0.75,0.05,3.0,0.03,0.1,23,-1.11,0.85,0.09,-0.09,-0.07,Conditions-Proof,-0.05,False
91a4a398,Z Khan,Royal Challengers Bangalore,99,366.67,119,7.8,18.49,pp_heavy,97.5,98.1,83.7,93.8,A+,S,S,A,Death Specialist,0.91,0.26,0.63,0.62,-0.12,2.88,0.03,-0.1,10,-0.89,0.83,0.05,-0.05,0.07,Conditions-Proof,0.01,False
2e171977,AR Patel,Delhi Capitals,160,553.5,137,7.48,24.24,middle_heavy,94.6,100.0,81.4,92.8,A+,A+,S,A,Death Specialist,0.75,0.32,0.75,0.86,0.01,2.62,0.02,0.02,13,-0.69,0.78,-0.06,0.06,-0.06,Conditions-Proof,-0.02,False
495d42a5,R Ashwin,Chennai Super Kings,217,785.0,205,7.29,22.98,middle_heavy,93.9,95.2,81.2,90.6,A+,A+,S,A,Death Specialist,0.8,0.23,0.73,0.95,-0.01,2.44,0.01,0.06,21,-0.86,0.82,-0.09,0.09,-0.07,Conditions-Proof,-0.02,False
4ba44e19,M Muralitharan,Chennai Super Kings,66,254.67,67,6.93,22.81,middle_heavy,93.7,93.5,86.4,91.6,A+,A+,A+,A+,Death Specialist,0.77,0.33,0.85,0.92,-0.21,2.93,0.04,0.03,6,-1.08,0.87,-0.14,0.14,0.06,Conditions-Proof,0.05,False
33a364a6,R Bhatia,Kolkata Knight Riders,91,272.67,82,7.55,19.95,middle_heavy,93.6,95.1,80.9,90.4,A+,A+,S,A,Death Specialist,0.67,0.3,0.28,0.23,0.03,2.46,0.03,-0.11,12,-0.7,0.75,0.16,-0.16,-0.02,Conditions-Proof,-0.08,False
8d2c70ad,Kuldeep Yadav,Delhi Capitals,96,344.0,106,8.15,19.47,middle_heavy,93.6,98.3,91.6,95.2,S,A+,S,A+,Death Specialist,0.76,0.19,0.71,0.68,0.07,2.76,0.03,0.0,5,-0.61,0.74,-0.1,0.1,-0.07,Conditions-Proof,-0.06,False
5fa06777,IK Pathan,Delhi Daredevils,101,340.5,99,7.96,20.64,pp_heavy,92.8,95.9,64.4,84.9,A,A+,S,B+,Utility Player,0.76,0.28,0.41,1.04,-0.01,2.41,0.02,0.03,20,-0.8,0.75,0.17,-0.17,0.07,Conditions-Proof,0.05,False
e938e1bc,P Kumar,Kings XI Punjab,119,420.67,102,7.94,24.75,pp_heavy,92.8,91.2,36.0,73.7,B+,A+,A+,C+,Spin Restrictor,0.73,0.19,0.34,0.46,0.12,2.1,0.02,0.0,24,-0.82,0.81,-0.0,0.0,0.12,Conditions-Proof,0.14,False
bd17b45f,STR Binny,Rajasthan Royals,63,99.0,28,7.71,21.21,middle_heavy,92.3,92.3,72.2,86.0,A+,A+,A+,B+,Death Specialist,0.45,0.25,0.24,0.31,-0.16,2.54,0.04,-0.14,6,-0.58,0.69,0.21,-0.21,-0.04,Conditions-Proof,-0.08,False
6c6591ab,PP Ojha,Deccan Chargers,90,316.5,99,7.58,19.18,middle_heavy,91.9,89.5,91.9,91.4,A+,A+,A+,A+,Death Specialist,0.8,0.2,0.47,0.32,0.05,2.49,0.03,-0.09,11,-0.85,0.83,0.02,-0.02,-0.05,Conditions-Proof,-0.03,False
1dc12ab9,SK Raina,Chennai Super Kings,69,151.33,30,7.53,30.27,middle_heavy,91.7,92.2,34.5,73.2,B+,A+,A+,C+,Spin Restrictor,0.39,0.17,0.18,0.6,-0.14,2.13,0.03,-0.07,14,-0.66,0.83,-0.36,0.36,-0.02,Conditions-Proof,-0.09,False
5f547c8b,Rashid Khan,Sunrisers Hyderabad,136,533.67,166,7.24,19.29,middle_heavy,91.7,94.7,94.9,94.3,A+,A+,A+,A+,Death Specialist,0.92,0.46,0.98,0.93,-0.14,2.61,0.02,0.1,9,-1.0,0.87,-0.02,0.02,-0.05,Conditions-Proof,-0.04,False
96fd40ae,A Nehra,Delhi Daredevils,88,318.0,121,7.98,15.77,pp_heavy,91.4,91.6,94.2,92.9,A+,A+,A+,A+,Death Specialist,0.91,0.23,0.52,0.36,0.06,2.71,0.03,-0.08,12,-0.86,0.74,0.04,-0.04,-0.04,Conditions-Proof,-0.05,False
5b7ab5a9,CV Varun,Kolkata Knight Riders,83,314.67,102,7.73,18.51,middle_heavy,91.0,90.4,96.6,93.2,A+,A+,A+,S,Death Specialist,0.84,0.33,0.79,0.55,-0.05,2.73,0.03,-0.15,7,-0.92,0.81,-0.16,0.16,-0.19,Conditions-Proof,-0.04,False
87e562a9,DJ Bravo,Chennai Super Kings,158,520.0,207,8.53,15.07,middle_heavy,90.9,79.8,98.0,90.2,A+,A+,A,S,Death Specialist,0.81,0.14,0.22,0.1,0.06,2.41,0.02,-0.11,24,-0.83,0.76,-0.04,0.04,0.0,Conditions-Proof,0.06,False
7dc35884,Shakib Al Hasan,Kolkata Knight Riders,70,247.33,71,7.54,20.9,middle_heavy,90.4,90.8,80.1,87.4,A+,A+,A+,A,Death Specialist,0.86,0.24,0.47,0.62,-0.07,2.39,0.03,0.09,5,-0.87,0.81,0.34,-0.34,-0.03,Conditions-Proof,-0.03,False
f0f628c7,MM Patel,Mumbai Indians,63,225.83,82,7.67,16.52,pp_heavy,89.9,89.2,88.4,89.4,A+,A+,A+,A+,Death Specialist,0.8,0.2,0.49,0.45,0.15,2.67,0.04,-0.06,9,-0.76,0.73,0.08,-0.08,-0.13,Conditions-Proof,-0.08,False
bb18be76,SK Warne,Rajasthan Royals,54,199.0,60,7.36,19.9,middle_heavy,89.7,87.1,81.4,86.3,A+,A+,A+,A,Death Specialist,0.83,0.2,0.53,0.35,0.27,2.42,0.04,-0.23,8,-0.98,0.79,-0.15,0.15,-0.01,Conditions-Proof,0.02,False
4329fbb5,SR Watson,Rajasthan Royals,105,338.17,107,8.11,18.96,pp_heavy,89.6,91.6,53.7,78.6,A,A+,A+,B,Spin Restrictor,0.72,0.17,0.39,0.5,0.0,2.16,0.02,-0.12,12,-0.75,0.78,0.02,-0.02,0.04,Conditions-Proof,0.0,False
3c6ffae8,YK Pathan,Kolkata Knight Riders,82,191.17,46,7.55,24.93,middle_heavy,89.6,91.3,72.3,84.7,A,A+,A+,B+,Death Specialist,0.51,0.33,0.17,0.51,-0.04,2.22,0.03,-0.11,8,-0.63,0.76,-0.07,0.07,0.06,Conditions-Proof,-0.06,False
0c2730df,A Kumble,Royal Challengers Bangalore,42,160.83,49,6.77,19.69,middle_heavy,89.4,89.1,85.4,88.2,A+,A+,A+,A+,Death Specialist,0.79,0.24,0.91,0.5,0.0,2.99,0.07,0.06,7,-1.15,0.83,-0.0,0.0,-0.22,Flat-Track Leaker,-0.15,False
3d7e087f,SK Trivedi,Rajasthan Royals,75,251.0,73,7.75,20.63,middle_heavy,89.2,81.2,72.3,81.1,A,A+,A,B+,Death Specialist,0.7,0.23,0.2,0.15,-0.08,2.06,0.03,-0.04,11,-0.73,0.79,-0.2,0.2,0.04,Conditions-Proof,0.02,False
abfeb126,M Kartik,Kolkata Knight Riders,55,191.5,39,7.4,29.46,middle_heavy,89.2,86.3,44.4,73.5,B+,A+,A+,C+,Spin Restrictor,0.69,0.18,0.4,0.5,-0.04,2.01,0.04,-0.15,11,-0.62,0.76,-0.04,0.04,0.12,Conditions-Proof,0.06,False
32198ae0,MC Henriques,Sunrisers Hyderabad,60,158.33,46,8.22,20.65,middle_heavy,89.1,89.7,82.9,87.5,A+,A+,A+,A,Death Specialist,0.67,0.13,0.13,0.67,0.06,2.44,0.04,0.09,12,-0.55,0.67,-0.2,0.2,0.11,Conditions-Proof,-0.0,False
5b8c830e,KH Pandya,Mumbai Indians,132,399.67,97,7.57,24.72,middle_heavy,88.6,94.9,75.1,86.7,A+,A+,A+,A,Death Specialist,0.55,0.22,0.46,0.34,0.0,2.24,0.02,-0.27,8,-0.65,0.8,0.18,-0.18,-0.03,Conditions-Proof,-0.05,False
86dc8f2e,JH Kallis,Kolkata Knight Riders,89,290.33,74,8.09,23.54,middle_heavy,88.0,79.2,75.5,81.0,A,A+,A,A,Death Specialist,0.69,0.32,0.14,0.14,0.13,2.01,0.02,-0.05,12,-0.66,0.72,-0.21,0.21,-0.12,Conditions-Proof,0.01,False
