bowler_id,bowler,comp_1,sim_1,comp_2,sim_2,comp_3,sim_3
012829ff,JW Hastings,DW Steyn,89.1,IK Pathan,86.8,SR Watson,84.0
0164b064,MG Neser,R Shepherd,60.6,A Mithun,56.4,S Dube,54.6
025c4400,MJ Suthar,Shahbaz Ahmed,52.1,R Shepherd,42.8,Abhishek Sharma,37.5
0264c10e,D Salunkhe,KA Pollard,83.0,C de Grandhomme,82.8,R Parag,82.0
030f3089,K Yadav,R Ashwin,74.2,JD Unadkat,70.8,NT Ellis,65.4
034b4b7d,VRV Singh,M Theekshana,74.6,S Kaul,72.5,AN Ahmed,72.1
03806cf8,JR Hazlewood,CR Woakes,97.1,M Prasidh Krishna,93.9,Harshit Rana,93.2
03a83c50,V Viyaskanth,JR Hopes,85.5,Washington Sundar,81.6,R Parag,66.1
04a418e8,R Parag,AM Nayar,83.8,C de Grandhomme,79.9,KA Pollard,78.0
05c2ca46,RE van der Merwe,SK Trivedi,93.9,R Sharma,92.5,SK Warne,92.5
0604ef16,SB Bangar,JR Hopes,68.2,AS Joseph,64.9,Lalit Yadav,63.5
08548b13,PHKD Mendis,Yuvraj Singh,85.8,YK Pathan,85.0,N Rana,84.8
0994d0ae,V Shankar,MC Henriques,83.8,KA Pollard,74.1,C Green,73.2
0a3d54b9,VR Aaron,Mujeeb Ur Rahman,77.6,Kartik Tyagi,69.7,HH Pandya,69.1
0a476045,S Dhawan,MC Henriques,85.1,BJ Hodge,78.7,STR Binny,75.6
0a4ebc61,T Henderson,J Yadav,85.5,B Lee,78.0,M Kartik,71.2
0a67aec0,Akash Deep,Kartik Tyagi,89.0,AS Rajpoot,82.4,A Mithun,78.5
0a8fce53,Mustafizur Rahman,M Prasidh Krishna,96.7,LH Ferguson,94.7,P Awana,92.9
0af3426f,SS Mundhe,DL Chahar,68.4,SW Tait,66.5,S Sreesanth,66.2
0b60eb09,KA Maharaj,P Negi,89.4,MJ Santner,84.9,A Mishra,84.3
0bf15e52,Harmeet Singh,Mohsin Khan,92.0,RP Meredith,88.2,DS Kulkarni,86.8
0c2730df,A Kumble,Harbhajan Singh,98.0,SK Warne,97.3,M Muralitharan,96.8
0c432afb,P Parameswaran,MG Johnson,78.2,Navdeep Saini,76.5,A Nortje,75.0
0c9652b0,HR Shokeen,Shahbaz Ahmed,67.0,DJ Hooda,65.6,CJ Anderson,53.8
0d232ffd,MA Khote,D Wiese,78.7,MM Sharma,68.6,KV Sharma,61.7
0dc00542,Shahid Afridi,Harpreet Brar,94.0,MM Ali,91.5,SB Jakati,88.0
0f12f9df,NLTC Perera,S Kaul,82.2,JO Holder,75.1,JP Faulkner,69.8
0f721006,JO Holder,AJ Tye,90.7,Naveen-ul-Haq,87.3,JP Faulkner,83.8
107c26fb,KT Maphaka,Arshad Khan,82.7,R Shepherd,78.6,Kartik Tyagi,67.3
10a91f35,Shoaib Akhtar,JA Morkel,73.8,DE Bollinger,73.5,TG Southee,69.8
11614d87,D Pretorius,C Sakariya,78.3,Vijaykumar Vyshak,74.5,TU Deshpande,72.7
119678fd,KV Sharma,R Sai Kishore,66.6,M Markande,65.0,S Gopal,60.7
12314277,Arshad Khan,Kartik Tyagi,75.4,R Shepherd,64.3,BB Sran,62.8
12314277,Arshad Khan (2),DJ Hooda,46.2,R Shepherd,45.2,Shahbaz Ahmed,44.4
12b610c2,TM Head,R Shepherd,79.3,CJ Anderson,77.8,S Dube,77.7
12eddf28,RJ Harris,A Nehra,97.9,AB Dinda,97.6,M Morkel,97.3
13c35c9e,TG Southee,R Vinay Kumar,90.5,Naveen-ul-Haq,88.8,A Singh,88.6
13fc5c6d,DS Rathi,R Ashwin,88.0,JD Unadkat,87.2,NT Ellis,87.1
14f96089,A Zampa,NT Ellis,88.1,Avesh Khan,85.3,L Ngidi,81.7
1558d83b,GS Sandhu,Lalit Yadav,56.1,JR Hopes,55.0,VRV Singh,51.8
16043342,AB McDonald,JP Faulkner,82.8,KK Cooper,82.3,PP Chawla,81.3
