bowler_id,bowler,country,matches,total_overs,total_wickets,career_economy,career_sr_bowl,phase_group,score_accuracy,score_control,score_threat,overall_score,overall_grade,grade_accuracy,grade_control,grade_threat,archetype,avg_wicket_quality_mean,bowled_lbw_pct,peak_composite_bowling,peak_window_composite,flat_track_index_bowl,war_bowling,war_bowling_rate,clutch_index_bowl,pressure_spells,avg_dominance_bowl,pct_dominant_bowl,bowl_first_index,bowl_second_index,condition_dependence_index_bowl,condition_dependence_tag_bowl,condition_spread_bowl,is_provisional_bowl
0a8fce53,Mustafizur Rahman,Bangladesh,114,416.0,163,7.46,15.31,middle_heavy,92.2,91.5,88.3,91.0,A+,A+,A+,A+,Death Specialist,0.75,0.24,0.56,0.81,-0.17,2.75,0.02,-0.25,24,-1.1,0.81,0.05,-0.05,-0.21,Flat-Track Leaker,-0.21,False
0dc00542,Shahid Afridi,Pakistan,93,350.67,103,6.78,20.43,middle_heavy,91.6,94.4,76.5,88.0,A+,A+,A+,A,Death Specialist,0.84,0.5,0.67,0.78,0.05,2.67,0.03,-0.09,15,-1.01,0.89,-0.06,0.06,0.1,Conditions-Proof,0.13,False
462411b3,JJ Bumrah,India,89,325.67,123,6.87,15.89,pp_heavy,91.0,92.9,92.4,92.5,A+,A+,A+,A+,Death Specialist,0.87,0.41,0.93,0.95,0.03,2.81,0.03,0.05,11,-0.98,0.82,-0.17,0.17,-0.06,Conditions-Proof,-0.05,False
a12e1d51,SL Malinga,Sri Lanka,83,302.0,124,7.63,14.61,pp_heavy,89.6,84.6,82.0,85.6,A+,A+,A,A,Death Specialist,0.8,0.44,0.58,0.8,0.11,2.24,0.03,0.08,17,-0.86,0.81,-0.05,0.05,0.07,Conditions-Proof,0.07,False
9cb8d7a6,Imad Wasim,Pakistan,70,244.0,77,6.34,19.01,middle_heavy,89.6,91.2,86.5,89.4,A+,A+,A+,A+,Death Specialist,0.87,0.39,1.05,1.04,0.16,3.13,0.04,0.01,5,-1.22,0.88,0.04,-0.04,0.09,Conditions-Proof,0.1,False
2e81a32d,B Kumar,India,85,294.5,92,7.25,19.21,pp_heavy,89.0,91.9,74.6,85.5,A+,A+,A+,B+,Death Specialist,0.8,0.28,0.82,0.91,-0.08,2.34,0.03,-0.17,14,-1.02,0.84,-0.22,0.22,-0.17,Flat-Track Leaker,-0.2,False
99cddc5e,GH Dockrell,Ireland,78,220.5,82,6.92,16.13,middle_heavy,88.5,88.7,59.5,79.1,A,A+,A+,B,Utility Player,0.72,0.2,0.61,1.12,0.29,3.12,0.04,-0.05,28,-1.0,0.83,-0.02,0.02,0.06,Conditions-Proof,0.15,False
05d74535,Saeed Ajmal,Pakistan,63,238.33,94,6.56,15.21,middle_heavy,87.6,88.2,85.7,87.3,A+,A+,A+,A+,Death Specialist,0.86,0.27,0.88,0.57,-0.04,2.65,0.04,-0.29,13,-1.25,0.95,-0.07,0.07,-0.0,Conditions-Proof,-0.01,False
afe57f7a,SC Williams,Zimbabwe,69,182.0,48,7.05,22.75,middle_heavy,87.0,87.2,11.3,61.9,B+,A+,A+,D,Spin Restrictor,0.6,0.25,0.51,0.48,0.04,2.22,0.03,-0.0,18,-0.8,0.78,0.1,-0.1,0.07,Conditions-Proof,0.03,False
9d430b40,SP Narine,West Indies,46,172.67,51,6.12,20.31,middle_heavy,86.9,87.2,70.0,81.5,A,A+,A+,B+,Death Specialist,0.64,0.22,1.01,0.86,0.1,2.64,0.06,-0.07,12,-1.28,0.89,-0.18,0.18,-0.13,Conditions-Proof,0.02,False
f19ccfad,Washington Sundar,India,52,162.33,52,6.99,18.73,middle_heavy,86.1,86.8,76.7,83.3,A,A+,A+,A,Death Specialist,0.89,0.23,0.67,1.13,0.03,2.62,0.05,,3,-0.98,0.77,-0.07,0.07,0.12,Conditions-Proof,0.18,False
76388dc8,S Badree,West Indies,48,176.0,55,6.43,19.2,pp_heavy,86.0,87.5,80.6,84.8,A,A+,A+,A,Death Specialist,0.93,0.35,1.05,0.97,0.07,2.65,0.06,-0.12,8,-1.26,0.84,-0.04,0.04,-0.0,Conditions-Proof,0.0,False
a2421394,AC Agar,Australia,48,169.67,54,6.67,18.85,middle_heavy,84.5,84.9,66.8,78.7,A,A,A,B+,Utility Player,0.74,0.28,0.64,0.75,-0.02,2.31,0.05,,2,-1.03,0.83,-0.63,0.63,0.08,Conditions-Proof,-0.02,False
d7c6af50,DL Vettori,New Zealand,34,132.17,40,5.94,19.82,middle_heavy,84.0,84.6,70.7,79.8,A,A,A,B+,Death Specialist,0.88,0.38,1.21,1.31,-0.09,2.68,0.08,-0.15,7,-1.08,0.94,0.16,-0.16,-0.08,Conditions-Proof,-0.1,False
d3851cd8,Ehsan Khan,Hong Kong,95,347.33,144,6.46,14.47,middle_heavy,83.4,82.0,83.6,83.0,A,A,A,A,Death Specialist,0.89,0.49,0.92,0.86,0.01,3.12,0.03,0.04,41,-1.27,0.9,0.03,-0.03,-0.05,Conditions-Proof,-0.02,False
7d608e12,DM de Silva,Sri Lanka,26,50.67,18,6.85,16.89,middle_heavy,82.8,82.0,68.1,77.6,A,A,A,B+,Utility Player,0.69,0.17,0.71,1.44,0.08,2.55,0.1,0.02,5,-0.27,0.67,0.21,-0.21,-0.08,Conditions-Proof,-0.28,False
221ad9d9,GP Swann,England,37,131.0,51,6.59,15.41,middle_heavy,82.8,83.8,73.0,79.9,A,A,A,B+,Death Specialist,1.05,0.12,0.81,0.44,0.02,2.37,0.06,-0.21,8,-1.13,0.81,0.07,-0.07,-0.12,Conditions-Proof,-0.13,False
7dc35884,Shakib Al Hasan,Bangladesh,110,396.33,138,7.11,17.23,middle_heavy,82.8,82.5,77.1,80.8,A,A,A,A,Death Specialist,0.86,0.29,0.72,0.85,0.01,2.18,0.02,-0.03,24,-0.89,0.82,-0.13,0.13,0.17,Tough-Track Enforcer,0.07,False
1747ea18,DS Airee,Nepal,66,192.33,71,6.24,16.25,middle_heavy,82.7,83.3,78.3,81.4,A,A,A,A,Death Specialist,0.64,0.25,0.79,0.73,0.18,3.02,0.05,-0.11,19,-1.0,0.83,-0.33,0.33,0.16,Conditions-Proof,0.01,False
